date,DIV,NDPI,NPI,OLI,PINTI,PROPI,WSD
1947:Q1,6.0,170.5,189.7,10.1,8.7,36.2,118.9
1947:Q2,6.3,170.2,189.7,9.5,9.0,33.3,121.3
1947:Q3,6.5,178.0,197.8,8.8,9.2,33.9,124.0
1947:Q4,6.4,179.9,200.7,8.6,9.4,35.0,128.3
1948:Q1,7.0,185.3,206.5,8.7,9.5,36.4,131.7
1948:Q2,6.7,193.0,212.0,8.7,9.6,40.2,133.4
1948:Q3,7.1,199.2,217.4,8.8,9.8,40.6,138.1
1948:Q4,7.4,199.7,218.1,8.8,10.0,39.9,139.1
1949:Q1,7.2,194.2,212.0,9.5,10.3,35.4,136.7
1949:Q2,7.2,194.0,211.0,9.7,10.5,34.9,135.0
1949:Q3,7.1,194.1,210.4,9.6,10.8,34.2,134.0
1949:Q4,7.4,195.0,210.9,9.6,11.1,34.2,133.2
1950:Q1,8.3,209.7,226.3,10.1,11.4,36.2,136.9
1950:Q2,8.4,210.1,227.7,10.6,11.7,36.8,143.0
1950:Q3,9.2,217.1,236.1,11.3,12.0,38.5,151.0
1950:Q4,9.5,222.4,244.9,12.1,12.2,38.5,158.1
1951:Q1,8.4,229.7,254.1,13.2,12.5,40.9,165.3
1951:Q2,8.6,236.7,263.1,13.9,12.7,42.5,171.0
1951:Q3,8.6,239.8,267.5,14.4,13.0,43.2,173.5
1951:Q4,8.7,242.5,272.1,14.9,13.2,43.7,176.6
1952:Q1,8.2,243.4,274.3,15.1,13.5,41.7,181.0
1952:Q2,8.7,246.4,278.3,15.3,13.8,43.0,182.1
1952:Q3,8.6,253.1,285.3,15.6,14.2,44.7,186.0
1952:Q4,8.8,258.9,292.0,15.9,14.5,42.8,193.5
1953:Q1,8.4,263.0,296.4,16.1,15.0,42.9,197.1
1953:Q2,9.2,266.8,300.2,16.2,15.4,42.3,200.0
1953:Q3,9.0,267.0,300.1,16.4,15.9,41.2,200.1
1953:Q4,8.9,267.2,300.1,16.4,16.3,41.6,198.7
1954:Q1,9.4,269.9,300.1,16.7,16.7,42.7,196.4
1954:Q2,8.9,269.8,299.8,16.7,17.1,42.1,196.0
1954:Q3,9.3,271.8,301.8,16.9,17.4,42.2,196.3
1954:Q4,9.5,276.7,307.2,17.2,17.8,42.0,200.4
1955:Q1,10.0,282.1,313.5,17.8,18.2,43.7,204.1
1955:Q2,10.2,288.6,321.1,18.2,18.6,44.3,209.9
1955:Q3,10.8,295.1,328.5,18.7,19.0,44.6,215.2
1955:Q4,10.9,299.4,333.6,18.9,19.5,44.5,219.5
1956:Q1,11.2,303.6,339.0,19.5,20.1,44.9,223.3
1956:Q2,11.2,308.6,344.8,20.0,20.6,45.3,227.5
1956:Q3,11.2,313.2,350.1,20.5,21.3,46.4,230.0
1956:Q4,11.6,319.9,357.8,21.0,22.1,46.8,235.4
1957:Q1,11.6,323.8,362.4,22.0,22.9,46.9,238.3
1957:Q2,11.8,328.1,367.1,22.4,23.6,47.7,239.6
1957:Q3,11.9,332.5,371.7,22.9,24.0,48.8,241.8
1957:Q4,11.7,332.0,370.8,23.2,24.3,47.7,240.1
1958:Q1,11.6,333.1,371.3,23.0,24.3,50.3,236.7
1958:Q2,11.7,336.0,373.7,23.2,24.9,50.3,236.3
1958:Q3,11.7,343.7,382.6,23.4,25.9,50.1,243.8
1958:Q4,11.4,348.8,388.2,23.8,27.5,49.9,248.4
1959:Q1,12.1,353.2,394.0,25.7,26.7,50.1,254.0
1959:Q2,12.5,360.4,402.4,25.9,27.6,50.3,260.6
1959:Q3,12.8,362.1,404.7,26.0,28.6,50.4,260.9
1959:Q4,13.0,366.6,410.4,26.3,29.6,50.6,263.9
1960:Q1,13.2,371.4,416.7,28.0,30.6,49.7,270.7
1960:Q2,13.2,375.7,421.7,28.3,30.9,50.7,273.4
1960:Q3,13.5,377.8,424.4,28.6,31.3,50.9,274.0
1960:Q4,13.5,379.4,425.8,28.8,31.8,51.0,273.3
1961:Q1,13.6,383.7,430.2,29.3,32.2,52.3,273.8
1961:Q2,13.6,389.4,436.4,29.7,32.9,52.6,277.6
1961:Q3,13.9,396.0,443.4,30.1,33.8,53.3,282.3
1961:Q4,14.5,404.2,452.3,30.5,34.8,54.5,288.4
1962:Q1,14.6,409.9,459.3,32.2,35.1,55.3,293.3
1962:Q2,15.0,415.8,466.8,32.7,36.5,55.0,298.7
1962:Q3,15.2,419.2,471.5,33.1,37.8,54.9,301.2
1962:Q4,15.4,424.2,477.8,33.4,38.8,55.8,304.2
1963:Q1,15.8,429.1,483.2,34.7,39.0,56.0,308.0
1963:Q2,16.1,433.7,488.1,35.2,39.8,55.8,312.4
1963:Q3,16.3,440.6,495.2,35.8,40.9,56.2,316.8
1963:Q4,16.8,449.4,504.6,36.5,42.2,57.6,322.2
1964:Q1,17.5,460.4,514.1,37.0,43.2,57.9,328.2
1964:Q2,18.0,473.8,523.6,37.8,44.4,58.8,334.8
1964:Q3,18.4,481.6,533.2,38.6,45.6,59.3,341.4
1964:Q4,18.9,488.7,541.9,39.4,46.6,60.5,346.7
1965:Q1,19.2,496.0,553.0,40.1,47.7,61.9,352.8
1965:Q2,19.9,504.1,562.6,41.0,48.9,63.2,358.9
1965:Q3,20.5,519.9,576.9,42.1,49.9,64.0,366.2
1965:Q4,21.2,532.0,590.2,43.3,50.7,65.6,377.1
1966:Q1,21.3,541.4,602.9,47.3,52.0,69.2,385.8
1966:Q2,20.9,547.2,612.8,48.5,53.5,67.2,395.9
1966:Q3,20.5,558.2,626.0,49.5,55.0,67.2,406.1
1966:Q4,20.0,569.1,639.6,50.3,56.7,68.1,413.5
1967:Q1,21.1,579.3,650.5,51.2,57.8,68.9,418.8
1967:Q2,21.7,586.7,657.6,52.0,58.8,68.5,423.6
1967:Q3,22.1,597.8,671.6,53.3,59.8,70.5,432.0
1967:Q4,21.2,607.3,683.2,54.7,61.4,70.0,441.6
1968:Q1,22.6,624.0,702.5,56.7,62.4,71.7,454.2
1968:Q2,23.4,640.7,722.4,58.1,64.2,73.2,465.9
1968:Q3,24.0,649.4,741.3,59.5,66.0,75.0,478.3
1968:Q4,24.2,661.7,757.5,60.9,68.5,75.5,489.4
1969:Q1,24.0,669.8,772.4,63.7,72.2,75.6,499.1
1969:Q2,24.1,685.0,790.6,65.3,74.5,77.1,511.4
1969:Q3,24.3,707.5,811.6,67.0,77.2,78.0,526.4
1969:Q4,24.6,721.1,826.8,68.5,80.4,77.3,536.5
1970:Q1,24.5,737.2,841.7,69.9,84.7,77.1,545.1
1970:Q2,24.3,754.5,860.0,71.2,88.8,76.7,549.1
1970:Q3,24.2,774.0,874.7,72.5,93.3,78.5,555.7
1970:Q4,24.2,782.2,883.7,73.7,95.8,78.9,556.4
1971:Q1,25.0,805.3,903.7,77.4,97.7,80.3,570.5
1971:Q2,25.0,826.4,927.1,79.3,99.3,82.8,580.4
1971:Q3,25.2,838.8,941.1,81.3,100.9,84.6,588.8
1971:Q4,24.9,853.8,959.3,83.7,102.5,87.9,598.4
1972:Q1,26.1,866.8,986.5,89.9,104.9,87.9,618.5
1972:Q2,26.4,880.8,1004.2,92.1,107.7,91.3,630.4
1972:Q3,27.1,905.8,1030.1,93.4,111.3,95.5,642.3
1972:Q4,27.7,949.9,1077.0,94.8,115.1,105.6,664.0
1973:Q1,28.4,968.7,1095.1,102.1,118.2,104.1,683.4
1973:Q2,29.3,995.7,1124.9,103.0,122.4,109.9,700.2
1973:Q3,30.4,1018.4,1152.5,104.2,128.4,113.8,716.2
1973:Q4,31.5,1050.7,1190.7,106.4,133.1,122.2,735.3
1974:Q1,32.5,1064.0,1206.8,110.2,137.9,115.7,748.2
1974:Q2,33.3,1084.0,1232.9,113.2,144.4,108.6,765.3
1974:Q3,33.5,1114.2,1269.1,117.1,150.3,111.0,783.1
1974:Q4,33.4,1140.9,1298.5,121.3,157.0,113.5,792.5
1975:Q1,32.9,1160.4,1318.4,126.5,163.5,112.7,791.9
1975:Q2,32.6,1228.9,1350.0,130.8,165.9,114.3,800.4
1975:Q3,32.8,1233.6,1386.5,134.7,169.7,120.7,821.3
1975:Q4,33.3,1264.2,1422.7,137.6,173.1,125.2,845.8
1976:Q1,36.1,1293.6,1456.1,143.5,174.4,126.4,871.2
1976:Q2,38.1,1311.9,1481.2,146.1,179.0,128.6,889.4
