date,gdp,consumption_total,consumption_nondurables,consumption_durables,consumption_services,business_investment,residential_investment,inventory_change,government_total,government_federal,government_state_local,net_exports,exports,imports
1947:Q1,2182.7,1351.4,501.6,39.9,861.6,129.4,147.4,6.2,560.5,278.9,256.9,39.9,93.8,53.9
1947:Q2,2176.9,1373.9,510.2,40.8,874.1,127.4,140.0,-4.3,560.1,276.7,260.4,37.7,92.6,54.9
1947:Q3,2172.4,1378.4,512.5,41.4,872.3,125.0,161.4,-16.9,560.0,273.2,266.4,39.2,87.9,48.7
1947:Q4,2206.5,1378.8,505.8,44.0,867.7,128.5,192.5,-2.8,555.6,267.2,270.5,26.6,77.9,51.3
1948:Q1,2239.7,1385.7,507.5,43.8,877.0,136.0,190.0,14.1,563.9,273.9,269.9,16.5,74.4,57.9
1948:Q2,2276.7,1401.8,512.4,44.1,890.8,131.5,201.0,26.8,583.8,284.9,277.3,7.2,67.4,60.2
1948:Q3,2289.8,1403.9,509.3,44.9,895.5,131.8,194.6,31.3,596.1,291.5,282.0,5.7,69.0,63.3
1948:Q4,2292.4,1415.1,516.0,44.2,904.5,134.8,180.3,24.2,618.1,304.6,288.7,4.3,66.6,62.3
1949:Q1,2260.8,1417.4,518.0,43.4,910.2,128.6,167.0,-2.5,634.5,310.1,300.5,14.1,74.5,60.4
1949:Q2,2253.1,1439.1,519.4,47.2,914.8,123.9,164.2,-21.8,662.2,321.2,317.4,14.4,73.9,59.5
1949:Q3,2276.4,1442.3,514.9,49.4,912.9,118.2,178.3,-4.8,665.7,315.9,330.4,10.6,67.7,57.1
1949:Q4,2257.4,1463.5,523.3,51.4,915.6,116.7,200.0,-21.8,654.1,302.9,336.7,0.6,58.6,58.0
1950:Q1,2346.1,1487.9,530.0,53.4,927.0,120.1,222.3,9.2,642.0,288.5,345.0,-1.9,57.7,59.6
1950:Q2,2417.7,1512.4,536.2,53.8,950.5,130.1,243.7,13.4,653.8,295.8,347.9,-4.5,58.4,62.9
1950:Q3,2511.1,1590.0,545.4,66.6,965.2,140.9,257.0,17.5,643.3,287.3,348.2,-17.7,59.9,77.6
1950:Q4,2559.2,1542.1,533.3,58.3,971.4,140.7,245.0,56.2,688.7,323.0,348.3,-13.0,64.7,77.7
1951:Q1,2594.0,1579.4,543.1,60.2,998.0,137.0,232.3,34.9,762.0,382.8,344.9,-9.7,68.0,77.7
1951:Q2,2638.9,1534.7,535.2,51.5,1004.8,138.7,201.3,50.8,863.6,459.2,350.7,-0.4,74.7,75.1
1951:Q3,2693.3,1552.6,546.4,50.6,1017.3,140.3,188.6,33.5,958.4,533.5,352.5,7.7,76.5,68.8
1951:Q4,2699.2,1561.7,552.8,50.4,1019.9,138.0,190.4,14.4,1009.1,574.3,352.0,8.8,75.8,67.0
1952:Q1,2728.0,1565.3,548.2,50.7,1032.8,139.3,195.4,18.0,1039.0,597.8,352.9,5.0,79.8,74.8
1952:Q2,2733.8,1595.9,561.0,51.7,1048.6,141.5,199.0,-4.4,1074.4,621.4,360.4,-3.4,71.0,74.4
1952:Q3,2753.5,1603.6,570.9,48.7,1062.4,130.5,197.1,20.0,1085.2,636.8,350.7,-13.5,65.4,78.9
1952:Q4,2843.9,1660.2,579.2,57.0,1077.4,142.1,207.7,20.1,1103.3,645.9,358.7,-20.1,65.9,86.0
1953:Q1,2896.8,1679.7,582.8,59.0,1088.0,149.8,211.1,16.2,1138.3,668.9,366.4,-19.1,64.8,83.9
1953:Q2,2919.2,1689.8,585.5,58.6,1100.9,151.3,211.8,15.9,1161.6,688.1,365.7,-23.0,65.2,88.2
1953:Q3,2902.8,1685.8,580.1,58.3,1107.6,154.7,203.8,9.6,1149.3,671.5,375.4,-20.1,67.8,87.9
1953:Q4,2858.8,1674.4,581.0,56.6,1099.2,153.3,202.2,-8.3,1146.4,663.0,384.4,-18.1,65.5,83.6
1954:Q1,2845.2,1680.6,586.6,54.9,1109.5,149.2,204.4,-7.3,1116.7,629.8,398.1,-16.1,62.6,78.7
1954:Q2,2848.3,1702.4,585.0,57.5,1128.5,147.9,217.7,-11.8,1078.9,598.4,399.6,-14.2,71.6,85.8
1954:Q3,2880.5,1725.5,592.4,57.8,1148.1,151.7,231.0,-9.4,1055.5,572.2,410.7,-11.3,69.3,80.6
